Epoch,Loss_validation,Loss_training_one_epoch,F1,IOU
3,0.734938383102417,0.072698675096035,0.00148205959703773,0.000741579278837889
5,0.546330392360687,0.0577543750405312,0.395386964082718,0.24640642106533
7,0.51739901304245,0.0602238699793816,0.391853332519531,0.243667647242546
9,0.766565501689911,0.0687716081738472,0.241986885666847,0.137647956609726
11,0.460919409990311,0.0522738061845303,0.402340471744537,0.25183117389679
13,0.515126585960388,0.0576466284692287,0.33732283115387,0.202879324555397
15,0.547710776329041,0.0417323373258114,0.298136621713638,0.175182476639748
17,0.660920321941376,0.0546048432588577,0.240616321563721,0.136761710047722
19,0.432770192623138,0.0579546615481377,0.488909900188446,0.323547810316086
21,0.775038480758667,0.0461089126765728,0.243560805916786,0.138667374849319
23,0.432638615369797,0.0405160523951054,0.428456485271454,0.272634208202362
25,0.36875256896019,0.0436150431632996,0.555274844169617,0.384346306324005
27,0.380020022392273,0.0815395414829254,0.482267260551453,0.317755073308945
29,0.356408894062042,0.0559177063405514,0.537669956684113,0.367680281400681
31,0.356463342905045,0.0384220518171787,0.49763497710228,0.331234395503998
33,0.328853368759155,0.0753761902451515,0.621261119842529,0.450601011514664
35,0.48428151011467,0.0465813539922237,0.397114276885986,0.247749596834183
37,0.572213709354401,0.0367036163806915,0.3095463514328,0.183114364743233
39,0.410558819770813,0.0452796369791031,0.480320751667023,0.316067188978195
41,0.369807481765747,0.0807307586073875,0.639282047748566,0.469812273979187
43,0.562379717826843,0.0553723089396954,0.269484162330627,0.155724763870239
45,0.443347603082657,0.0378108061850071,0.417973339557648,0.264201164245605
47,0.431490331888199,0.0340879298746586,0.522466242313385,0.353606969118118
49,0.400105625391007,0.0483399033546448,0.408604890108109,0.25675892829895
51,0.315942078828812,0.0658518075942993,0.611165344715118,0.44005623459816
53,0.769146203994751,0.0486172139644623,0.237828627228737,0.134963393211365
55,0.441316425800324,0.0447830073535442,0.40365394949913,0.252861201763153
57,0.309334427118301,0.0420722328126431,0.610043823719025,0.438894301652908
59,0.670247972011566,0.0360268764197826,0.25096184015274,0.143485635519028
61,1.29978573322296,0.0441789291799068,0.165813267230988,0.0904015153646469
63,0.364489793777466,0.0367468446493149,0.517988622188568,0.349517345428467
65,0.350352793931961,0.0356738865375519,0.587448656558991,0.415877759456635
67,0.30666646361351,0.0238820035010576,0.607983767986298,0.43676483631134
69,0.858135461807251,0.0312992967665195,0.214636608958244,0.120220132172108
71,1.18608736991882,0.0402475446462631,0.152055859565735,0.0822838023304939
73,0.258032649755478,0.0622706860303879,0.652429044246674,0.484151899814606
75,0.60414057970047,0.0596452280879021,0.310593158006668,0.183847457170486
77,0.928894937038422,0.0407310426235199,0.189438626170158,0.104629769921303
79,0.487792372703552,0.040959257632494,0.333657085895538,0.200233161449432
81,0.33837017416954,0.0316111519932747,0.511025488376617,0.343206375837326
83,0.555347442626953,0.0301669389009476,0.333236634731293,0.199930384755135
85,0.293705940246582,0.0401904918253422,0.557824552059174,0.386793881654739
87,0.622844219207764,0.0386535339057446,0.266967684030533,0.154046565294266
89,0.267534881830215,0.0279587395489216,0.618074417114258,0.447255969047546
91,0.259757608175278,0.0528742559254169,0.630333662033081,0.460209637880325
93,0.329218149185181,0.0440961308777332,0.601114392280579,0.4297094643116
95,0.39129051566124,0.0262159705162048,0.481403708457947,0.317005753517151
97,0.24359168112278,0.0497463792562485,0.689216017723084,0.525804460048676
99,1.44190073013306,0.0673403814435005,0.154620260000229,0.0837877690792084
